make,price,mileage,gear,fuel,hp,model
"BMW 118 
i 5p. Business Advantage","€ 26,900","20,000 km",Automatic,Gasoline,,i 5p. Business Advantage
"BMW 118 
118i 136cv Msport","€ 29,900","29,900 km",Automatic,Gasoline,,118i
"BMW 118 
F40 118i Advantage 136cv auto","€ 29,900","10,300 km",Automatic,Gasoline,,F40 118i
"BMW 116 
116i 5p.","€ 27,800",- km,Automatic,Gasoline,,118i
"BMW 118 
i 5p. Msport automatico","€ 29,900","29,000 km",Automatic,Gasoline,,i 5p. Msport automatico
"BMW 118 
i F40 M sport VirtualCock € 300 mese Garanzia 24","€ 28,790","23,000 km",Automatic,Gasoline,,i F40 M sport VirtualCock € 300 mese Garanzia 24
"BMW 118 
i Sport Line LED NAVI","€ 26,900","19,500 km",Automatic,Gasoline,,i Sport Line LED NAVI
"BMW 118 
118i Msport 140cv auto","€ 28,400","20,470 km",Automatic,Gasoline,,118i
"BMW 118 
i 5p. Msport Promo FINANZIAMENTO","€ 29,950","11,316 km",Automatic,Gasoline,,i 5p. Msport Promo FINANZIAMENTO
"BMW 116 
benzina 116i MSport auto","€ 27,300","12,000 km",Automatic,Gasoline,,benzina 118i
"BMW 116 
116i 5p. Advantage","€ 28,650",- km,Automatic,Gasoline,,118i
"BMW 116 
116i 5p. Advantage","€ 28,650",- km,Automatic,Gasoline,,118i
"BMW 116 
I 109 CV SDRIVE CAMBIO AUTOMATICO MY’ 23","€ 27,950",- km,Automatic,Gasoline,,I 109 CV SDRIVE CAMBIO AUTOMATICO MY’ 23
"BMW 118 
i Msport auto","€ 26,900","28,271 km",Automatic,Gasoline,,i Msport auto
"BMW 118 
Serie 1 (F20) 5p. C/AUTOM. *Pronta consegna*","€ 19,950","19,999 km",Automatic,Gasoline,,Serie 1 (F20) 5p. C/AUTOM. *Pronta consegna*
"BMW 118 
i 5p. Msport M Sport/LED/SENSORI PARCH ANT POST","€ 29,480","21,840 km",Automatic,Gasoline,,i 5p. Msport M Sport/LED/SENSORI PARCH ANT POST
"BMW 118 
i Sport auto","€ 28,580","24,375 km",Automatic,Gasoline,,i Sport auto
"BMW 118 
136CV 5p. Business Sport LED A/T (varie disp.)","€ 29,500","22,000 km",Automatic,Gasoline,,136CV 5p. Business Sport LED A/T (varie disp.)
"BMW 116 
116i 5p.","€ 27,800",- km,Automatic,Gasoline,,118i
"BMW 116 
116i 5p. Advantage","€ 28,650",- km,Automatic,Gasoline,,118i
"BMW 118 
i Sport auto","€ 28,400","22,384 km",Automatic,Gasoline,,i Sport auto
"BMW 118 
i 5p. Advantage Auto","€ 27,500","9,700 km",Automatic,Gasoline,,i 5p. Advantage Auto
"BMW 116 
116i 5p.","€ 27,800",- km,Automatic,Gasoline,,118i
"BMW 118 
F40 118i Advantage 136cv auto","€ 29,900","14,200 km",Automatic,Gasoline,,F40 118i
"BMW 118 
i 5p. Msport M Sport Autom/SHADOW LINE/SEDILI RIS","€ 28,990","27,690 km",Automatic,Gasoline,,i 5p. Msport M Sport Autom/SHADOW LINE/SEDILI RIS
"BMW 118 
F40 118i Advantage 136cv auto","€ 29,900","16,600 km",Automatic,Gasoline,,F40 118i
"BMW 118 
118i F40 Aut 5p Sport Line","€ 27,900","17,073 km",Automatic,Gasoline,,118i
"BMW 118 
i 5p. Business Advantage","€ 29,499","11,500 km",Automatic,Gasoline,,i 5p. Business Advantage
"BMW 116 
116i 5p.","€ 27,800",- km,Automatic,Gasoline,,118i
"BMW 118 
118i 5p. Business Advantage","€ 27,900","9,000 km",Automatic,Gasoline,,118i
"BMW 116 
116i 5p. Advantage","€ 28,650",- km,Automatic,Gasoline,,118i
"BMW 118 
F40 118i Business Advantage 136cv auto","€ 29,900","15,400 km",Automatic,Gasoline,,F40 118i
"BMW 118 
F40 118i Advantage 136cv auto","€ 29,900","16,200 km",Automatic,Gasoline,,F40 118i
"BMW 118 
i 5p. Msport M Sport/LED/SENSORI PARCH ANT POST","€ 29,480","21,840 km",Automatic,Gasoline,,i 5p. Msport M Sport/LED/SENSORI PARCH ANT POST
"BMW 118 
F40 118i Advantage 136cv auto","€ 29,900","10,500 km",Automatic,Gasoline,,F40 118i
"BMW 118 
118i 5p. Business Advantage","€ 22,900","29,000 km",Automatic,Gasoline,,118i
"BMW 118 
i 5p. Msport M Sport Autom/SHADOW LINE/SEDILI RIS","€ 28,990","27,690 km",Automatic,Gasoline,,i 5p. Msport M Sport Autom/SHADOW LINE/SEDILI RIS
"BMW 118 
i 5p.","€ 27,950","22,500 km",Automatic,Gasoline,,i 5p.
"BMW 118 
F40 118i Advantage 136cv auto","€ 29,900","18,500 km",Automatic,Gasoline,,F40 118i
"BMW 120 
120i Msport","€ 27,270","28,700 km",Automatic,Gasoline,,118i
"BMW 118 
i 5p. Msport","€ 30,000","16,000 km",Automatic,Gasoline,,i 5p. Msport
"BMW 118 
i 5p. Msport","€ 29,600","17,580 km",Automatic,Gasoline,,i 5p. Msport
"BMW 118 
F40 118i Advantage 136cv auto","€ 29,900","15,500 km",Automatic,Gasoline,,F40 118i
"BMW 116 
116i 5p.","€ 27,800",- km,Automatic,Gasoline,,118i
"BMW 116 
116i 5p. Advantage","€ 28,650",- km,Automatic,Gasoline,,118i
"BMW 116 
5-porte 116i 5p. Business Advantage","€ 29,268",- km,Automatic,Gasoline,,5-porte 118i
"BMW 118 
i 5p. AUT. NAVI+RETROCAMERA+TRENO","€ 22,550","26,942 km",Automatic,Gasoline,,i 5p. AUT. NAVI+RETROCAMERA+TRENO
"BMW 116 
116I 5 PORTE ADVANTAGE","€ 28,800","13,201 km",Automatic,Gasoline,,116I 5 PORTE ADVANTAGE
"BMW 116 
116i MSport auto","€ 26,500","27,500 km",Automatic,Gasoline,,118i
"BMW 120 
i M SPORT AUTOMATICA","€ 25,900","29,700 km",Automatic,Gasoline,,i M SPORT AUTOMATICA
